2023 OBS Spring Sale,,,,,,,,,,,,,,,,,,,,
"April 25-28, 2023",,Adjusted 7/28/23,,,,,,,,,,,,,,,,,,
Hip,Name,Color,Sex,Foal Date,Sire,Dam,Damsire,Sort by Dam,Consignor,State,Barn,UT Time,Set,Day,Buyer,Price,Post Sale,Out,Out Date,Alphabetic Consignor Sort
272,,B,F,2/2/2021,Good Magic,Divine Mercy,Bernardini,DivineMercy,"Santa Fe Thoroughbreds, Agent",KY,20,out,,17-Apr,Withdrawn,Out,,out,4/11/2023,Santa Fe Thoroughbreds
273,,B,F,3/3/2021,Street Sense,Divine Praises,Medaglia d'Oro,DivinePraises,"de Meric Sales, Agent III",KY,12,out,89,17-Apr,Withdrawn,Out,,out,4/20/2023,de Meric Sales
274,,CH,F,3/22/2021,Tapwrit,Divine Trick,Divine Park,DivineTrick,"Grade One Investments LLC, Agent I",KY,14,10.1,26,17-Apr,Eric Foster,"110,000",,,,Grade One Investments LLC
275,Beach Blanket,DB/BR,C,4/10/2021,Omaha Beach,Dixie City,Dixie Union,DixieCity,"Woodside Ranch, Agent IV",LA,6,out,38,17-Apr,Withdrawn,Out,,out,4/25/2023,Woodside Ranch
276,,B,F,3/31/2021,Goldencents,Diza,Empire Maker,Diza,"Bobby Dodd, Agent II",KY,10,10.1,97,17-Apr,Madaket Stables LLC,"60,000",,,,Dodd Bobby
277,Spinning Mischief,B,C,4/27/2021,Maximus Mischief,Doin' Hard Time,Hard Spun,DoinHardTime,"S B M Training and Sales, Agent",IA,3,out,64,17-Apr,Withdrawn,Out,,out,4/25/2023,S B M Training and Sales
278,,DB/BR,C,2/13/2021,Mendelssohn,Dolce Lemone,Lemon Drop Kid,DolceLemone,"Eddie Woods, Agent XVII",KY,11,out,132,17-Apr,Withdrawn,Out,,out,4/25/2023,Woods Eddie
279,,CH,F,3/19/2021,American Pharoah,Dolce Lili,Scat Daddy,DolceLili,"Eddie Woods, Agent XXII",KY,11,out,2,17-Apr,Withdrawn,Out,,out,4/25/2023,Woods Eddie
280,,GR/RO,C,2/21/2021,Valiant Minister,Donatienne,Bandini,Donatienne,"S B M Training and Sales, Agent I",FL,3,out,,17-Apr,Withdrawn,Out,,out,4/17/2023,S B M Training and Sales
281,,DB/BR,C,4/11/2021,Classic Empire,Donna D,Dixie Union,DonnaD,"McKathan Bros. Sales, Agent II",KY,6,10.2,142,17-Apr,"Brenda Zoppo, Agent","20,000",PS,,,McKathan Bros.
282,Micki Valentine,B,F,4/5/2021,Vino Rosso,Double Harbor,Rockport Harbor,DoubleHarbor,"Grassroots Training & Sales LLC, Agent II",IN,J,10.3,126,17-Apr,"34,000",Not Sold,,,,Grassroots Training & Sales LLC
283,,B,C,2/1/2021,Audible,Down to Hearth,Giant's Causeway,DowntoHearth,"Off the Hook LLC, Agent XIX",KY,13,out,,17-Apr,Withdrawn,Out,,out,4/17/2023,Off the Hook LLC
284,Dragon Master,DB/BR,C,4/22/2021,Mastery,Dragon Army,Giant's Causeway,DragonArmy,"Mayberry Farm, Agent XI",KY,B,10.2,92,17-Apr,S.R.O.A. (KOID),"40,000",,,,Mayberry Farm
285,,DB/BR,C,3/18/2021,First Dude,Dramamina,Big Drama,Dramamina,"Azpurua Stables, Agent",FL,16,21.1,113,17-Apr,Travers Thoroughbreds,"45,000",,,,Azpurua Stables
286,,GR/RO,F,4/8/2021,Tapwrit,Dreaming of Liz,El Prado (IRE),DreamingofLiz,"Eisaman Equine, Agent",KY,7,10.1,46,17-Apr,D. J. Stable LLC,"130,000",PS,,,Eisaman Equine
287,,B,C,3/3/2021,Justify,Dreaming of You,Pioneerof the Nile,DreamingofYou,"Crossing Point South, Agent I",KY,7,23.0,55,17-Apr,"45,000",Not Sold,,,,Crossing Point South
288,,B,F,2/8/2021,Night of Thunder (IRE),Dreaming Time (GB),Oasis Dream (GB),DreamingTimeGB,"Niall Brennan Stables, Agent I",IR,8,out,135,17-Apr,Withdrawn,Out,,out,4/25/2023,Brennan Niall
289,,B,F,4/10/2021,Oscar Performance,Dream Prospect,Mineshaft,DreamProspect,"McKathan Bros. Sales, Agent II",KY,6,10.1,116,17-Apr,"Mark Cherry, Cerasus Thoroughbreds LLC","50,000",,,,McKathan Bros.
290,,B,F,5/2/2021,Maximus Mischief,Dress for Ballet,Drosselmeyer,DressforBallet,"Silver Crown Thoroughbreds, Agent III",KY,C,10.1,81,17-Apr,D. J. Stable LLC,"85,000",,,,Silver Crown Thoroughbreds
291,,B,F,3/30/2021,Practical Joke,Driver's Girl,Candy Ride (ARG),DriversGirl,"Scanlon Training & Sales, Agent III",KY,1,10.2,94,17-Apr,Marc Tacher,"85,000",,,,Scanlon Training Center
292,,CH,C,1/30/2021,Frosted,Dr. Melfi,Freud,DrMelfi,"Eddie Woods, Agent XXII",KY,11,10.3,138,17-Apr,S.R.O.A. (KOID),"35,000",,,,Woods Eddie
293,,CH,F,4/27/2021,Munnings,Druidess,Malibu Moon,Druidess,"Eddie Woods, Agent VIII",ON,11,10.2,59,17-Apr,Nancy Diaz,"24,000",,,,Woods Eddie
294,Setora,DB/BR,C,3/28/2021,Yoshida (JPN),Drunk Philosophy,Scat Daddy,DrunkPhilosophy,"McKee Bloodstock LLC, Agent",KY,10,10.2,80,17-Apr,James Politano,"42,000",,,,McKee Bloodstock LLC
295,,CH,F,5/2/2021,Tapit,Duke's Dream,Mr. Greeley,DukesDream,"Lucan Bloodstock (Karl Keegan), Agent",KY,18,out,63,17-Apr,Withdrawn,Out,,out,4/25/2023,Lucan Bloodstock
296,,B,F,4/10/2021,Maximus Mischief,Dulce Periculum,El Corredor,DulcePericulum,"Crown Thoroughbred, Agent III",KY,3,21.3,49,17-Apr,"37,000",Not Sold,,,,Crown Thoroughbred
297,,B,C,3/17/2021,Munnings,Durga Devi (IRE),Galileo (IRE),DurgaDeviIRE,"Niall Brennan Stables, Agent XIX",KY,8,10.2,90,17-Apr,Almasoud Naif Abdullah / Abdulrahman Alsayed,"175,000",,,,Brennan Niall
298,,B,F,2/8/2021,Catalina Cruiser,Dushlan,Congrats,Dushlan,"Randy Miles, Agent II",KY,18,10.0,11,17-Apr,"West Bloodstock, Agent for Repole Stable, Inc.","210,000",,,,Miles Randy
299,,CH,C,5/8/2021,Justify,D' Wildcat Speed,Forest Wildcat,DWildcatSpeed,Navas Equine,KY,13,9.4,75,17-Apr,Jay Em Ess Stable,"400,000",PS,,,Navas Equine
300,,CH,F,3/23/2021,The Big Beast,East Lake Classic,Orientate,EastLakeClassic,Hawk's Rest LLC,FL,17,10.1,28,17-Apr,KD Racing,"50,000",,,,Hawk's Rest LLC
301,,DB/BR,F,3/29/2021,American Pharoah,Easy Living,Big Brown,EasyLiving,"de Meric Sales, Agent XXXI",KY,12,10.2,54,17-Apr,MWG,"110,000",,,,de Meric Sales
302,,B,C,4/8/2021,Khozan,E B Ryder,Bluegrass Cat,EBRyder,Grassroots Training & Sales LLC,FL,J,10.2,141,17-Apr,C.H.P.R.,"20,000",PS,,,Grassroots Training & Sales LLC
303,,CH,C,4/11/2021,Preservationist,Echo Storm,Thunder Gulch,EchoStorm,"Santa Fe Thoroughbreds, Agent IV",KY,20,10.3,77,17-Apr,Rohan Crichton,"22,000",,,,Santa Fe Thoroughbreds
304,,CH,F,5/26/2021,Liam's Map,Echo Warrior,Tiznow,EchoWarrior,"de Meric Sales, Agent X",KY,12,10.1,78,17-Apr,Danny W. Brown,"60,000",PS,,,de Meric Sales
305,,CH,F,3/20/2021,Catalina Cruiser,Egyptian Magic,Eskendereya,EgyptianMagic,"Randy Miles, Agent XX",KY,18,10.1,106,17-Apr,M.D.C. Partners,"85,000",,,,Miles Randy
306,,B,C,3/20/2021,Catalina Cruiser,Eiffel Tower,Smart Strike,EiffelTower,"Little Farm Equine LLC, Agent I",KY,20,10.3,131,17-Apr,"20,000",Not Sold,,,,Little Farm Equine LLC
307,,B,C,2/10/2021,Into Mischief,Eighth Wonder,Pioneerof the Nile,EighthWonder,"Gene Recio, Agent IV",KY,17,out,,17-Apr,Withdrawn,Out,,out,4/17/2023,Recio Gene
308,,CH,F,2/14/2021,Gun Runner,Eileen's Song,Kitten's Joy,EileensSong,"Paul Sharp, Agent X",KY,C,out,84,17-Apr,Withdrawn,Out,,out,4/26/2023,Sharp Paul M.
309,,GR/RO,F,2/18/2021,Peace and Justice,Elasticity,Paddy O'Prado,Elasticity,"Ocala Stud, Agent",PA,4,out,91,17-Apr,Withdrawn,Out,,out,4/26/2023,Ocala Stud
310,,DB/BR,F,3/14/2021,Audible,El Bank Robber,Eltish,ElBankRobber,"Top Line Sales LLC, Agent LV",KY,14,10.1,1,17-Apr,"70,000",Not Sold,,,,Top Line Sales
311,,CH,F,4/14/2021,Solomini,El Coyote,A.P. Indy,ElCoyote,G. A. Thoroughbred Sales,NY,7,10.3,58,17-Apr,"22,000",Not Sold,,,,G. A. Thoroughbred Sales
312,,B,C,1/19/2021,Mo Town,Eleadora,Finality,Eleadora,"Omar Ramirez Bloodstock, Agent XXXII",NY,15,out,99,17-Apr,Withdrawn,Out,,out,4/26/2023,Ramirez Omar
313,,B,F,2/12/2021,Hard Spun,Elite Mom,Scat Daddy,EliteMom,"Hidden Brook, Agent III",KY,9,out,,17-Apr,Withdrawn,Out,,out,4/7/2023,Hidden Brook Farm
314,,DB/BR,F,3/31/2021,Preservationist,Ella's Dreaming,First Dude,EllasDreaming,"de Meric Sales, Agent XXIX",KY,12,10.2,118,17-Apr,Champion Racing Stable,"14,000",PS,,,de Meric Sales
315,,CH,C,4/9/2021,Lord Nelson,Elle Special,Giant's Causeway,ElleSpecial,"Little Farm Equine LLC, Agent I",KY,20,21.2,24,17-Apr,"Jeffrey Bloom, Agent for True North Stables","70,000",,,2/27/2023,Little Farm Equine LLC
316,,DB/BR,F,2/20/2021,Hard Spun,Ellie's Smile,Tapit,ElliesSmile,"Omar Ramirez Bloodstock, Agent XLVIII",NY,15,10.1,34,17-Apr,Clear Stars Stable & Mitre Box Stable,"95,000",,,,Ramirez Omar
317,,DB/BR,C,5/14/2021,Uncle Mo,Eloisa,Tapit,Eloisa,"Scanlon Training & Sales, Agent IV",KY,1,out,,17-Apr,Withdrawn,Out,,out,4/17/2023,Scanlon Training Center
318,,B,C,2/27/2021,Medaglia d'Oro,Elsaabiqaat (GB),Invincible Spirit (IRE),ElsaabiqaatGB,"Julie Davies LLC, Agent XV",KY,19,10.1,27,17-Apr,"150,000",Not Sold,,,,Davies Julie
319,,B,C,3/30/2021,Omaha Beach,Elusive Pearl,Medaglia d'Oro,ElusivePearl,"Lucan Bloodstock (Karl Keegan), Agent",KY,18,21.1,19,17-Apr,Daniel B. Keller,"45,000",,,,Lucan Bloodstock
320,,GR/RO,C,5/2/2021,Bolt d'Oro,Elusive Wave,Mizzen Mast,ElusiveWave,"Wavertree Stables, Inc. (Ciaran Dunne), Agent VI",KY,5,10.1,117,17-Apr,K. Radcliffe for Lady Sheila Stable LLC & Partners,"700,000",,,,"Wavertree Stables, Inc."
321,,DB/BR,F,5/6/2021,Practical Joke,Embur's Melody,Mr. Greeley,EmbursMelody,"Eddie Woods, Agent VIII",ON,11,10.1,37,17-Apr,Dare To Dream Stable Management LLC,"100,000",,,,Woods Eddie
322,,CH,F,3/30/2021,Palace Malice,Embur's Zip,City Zip,EmbursZip,"Silvestre Chavez Thoroughbreds, Agent VII",FL,17,10.2,32,17-Apr,"45,000",Not Sold,,,,Chavez Thoroughbreds Silvestre 
323,,CH,C,3/4/2021,Good Magic,Emerald Gal,Gilded Time,EmeraldGal,"S G V Thoroughbreds LLC (Steven Venosa), Agent",KY,1,10.0,65,17-Apr,More Play,"450,000",,,,S G V Thoroughbreds
324,,CH,C,5/23/2021,Practical Joke,Empress of Midway,Empire Maker,EmpressofMidway,"Tradewinds Farm, Agent I",KY,1,out,,17-Apr,Withdrawn,Out,,out,4/13/2023,Tradewinds Farm
325,,B,F,4/3/2021,Union Rags,Enchanted Jasmine,War Chant,EnchantedJasmine,"Julie Davies LLC, Agent I",VA,19,out,,17-Apr,Withdrawn,Out,,out,4/14/2023,Davies Julie
326,,CH,F,1/29/2021,Constitution,Entirely,Point of Entry,Entirely,"Cortez Racing & Sales, Agent III",NY,20,10.2,56,17-Apr,Clark O. Brewster,"55,000",,,,Cortez Racing & Sales
327,,B,C,2/6/2021,Cloud Computing,Epic Lady,Tiznow,EpicLady,"Eddie Woods, Agent XVII",KY,11,10.2,103,17-Apr,Marc Tacher,"75,000",,,,Woods Eddie
328,,B,C,2/23/2021,Twirling Candy,Equilateral,Arch,Equilateral,"Tom McCrocklin, Agent XIX",KY,2,21.1,128,17-Apr,"West Bloodstock, Agent for Robert & Lawana Low","475,000",,,,McCrocklin Tom
329,,B,F,3/3/2021,Maximus Mischief,Erin Enchanted,Lion Heart,ErinEnchanted,"Mason Springs Partnership (Marcus & Crystal Ryan), Agent I",KY,20,10.1,74,17-Apr,"West Point Thoroughbreds, LEB agent","100,000",PS,,,Mason Springs Training Center LLC
330,,GR/RO,F,5/4/2021,Into Mischief,Ervsayslethergo,Hold Me Back,Ervsayslethergo,"McKathan Bros. Sales, Agent II",KY,6,out,45,17-Apr,Withdrawn,Out,,out,4/26/2023,McKathan Bros.
331,,CH,F,4/1/2021,Vino Rosso,Essence of Audre,Exchange Rate,EssenceofAudre,"Top Line Sales LLC, Agent I",KY,14,10.2,111,19-Apr,C.H.P.R.,"27,000",,,,Top Line Sales
332,,B,C,4/3/2021,No Nay Never,Etoile,War Front,Etoile,"Wavertree Stables, Inc. (Ciaran Dunne), Agent VII",IR,5,20.4,6,17-Apr,"335,000",Not Sold,,,,"Wavertree Stables, Inc."
333,,DB/BR,F,3/21/2021,Girvin,Eva London,Adios Charlie,EvaLondon,Ocala Stud,FL,4,21.4,21,17-Apr,Gary Folgner,"20,000",,,,Ocala Stud
334,,B,C,4/1/2021,Twirling Candy,Evening Wind,Curlin,EveningWind,"S G V Thoroughbreds LLC (Steven Venosa), Agent",KY,1,10.2,127,17-Apr,"McMahon and Hill Bloodstock, Agent","95,000",,,,S G V Thoroughbreds
335,,B,C,4/18/2021,Into Mischief,Ever So Clever,Medaglia d'Oro,EverSoClever,"Top Line Sales LLC, Agent XXVII",KY,14,out,,17-Apr,Withdrawn,Out,,out,4/14/2023,Top Line Sales
336,,B,F,3/28/2021,Tapiture,Exclusively Yours,Elusive Quality,ExclusivelyYours,"Grade One Investments LLC, Agent I",NY,14,out,,17-Apr,Withdrawn,Out,,out,4/17/2023,Grade One Investments LLC
337,,B,C,2/28/2021,Collected,Exclusive Woman,Cat Thief,ExclusiveWoman,"Ordonez Thoroughbreds, Agent I",NY,20,10.1,33,17-Apr,Lea Farms LLC,"85,000",,,,Ordonez Thoroughbreds
338,,DB/BR,F,2/18/2021,Good Magic,Exes N Ohs,Street Sense,ExesNOhs,"Oak Creek Thoroughbreds, Agent I",KY,16,out,,17-Apr,Withdrawn,Out,,out,3/30/2023,Oak Creek Thoroughbreds
339,,CH,G,4/5/2021,Palace Malice,Exogenetic,Unbridled's Song,Exogenetic,"Silvestre Chavez Thoroughbreds, Agent II",KY,17,10.3,134,17-Apr,C.H.P.R.,"8,000",PS,,,Chavez Thoroughbreds Silvestre 
340,,B,C,4/7/2021,Maximus Mischief,Explicable,Pioneerof the Nile,Explicable,"Tom McCrocklin, Agent X",NY,2,21.2,70,17-Apr,Gary Contessa Agt for John Moirano & Pines Stables,"80,000",PS,,,McCrocklin Tom
341,,B,C,2/21/2021,Maximus Mischief,Exposure,Colonel John,Exposure,"Gene Recio, Agent IX",NY,17,10.1,114,17-Apr,"70,000",Not Sold,,,,Recio Gene
342,,B,F,2/13/2021,Uncle Mo,Exuberance,Archarcharch,Exuberance,"Kings Equine, Agent IX",KY,1,10.2,66,17-Apr,Nasser Bin Omairah,"70,000",,,,Kings Equine
343,,B,F,4/26/2021,Enticed,Eye Candy Annie,Candy Ride (ARG),EyeCandyAnnie,"Coastal Equine LLC (Jesse Hoppel), Agent II",KY,A,21.2,13,17-Apr,California Racing Partners,"20,000",PS,,,Coastal Equine LLC
344,,B,C,3/1/2021,St Patrick's Day,Eye of Ra,Leroidesanimaux (BRZ),EyeofRa,"Omar Ramirez Bloodstock, Agent XXXII",FL,15,10.1,119,17-Apr,"35,000",Not Sold,,,,Ramirez Omar
345,,B,C,5/19/2021,Accelerate,Fabuleux,Bodemeister,Fabuleux,"Off the Hook LLC, Agent XI",NY,13,10.1,93,17-Apr,Joaquin Ferreira,"60,000",,,,Off the Hook LLC
346,,DB/BR,C,2/1/2021,Mastery,Faithful,Vindication,Faithful,"Randy Bradshaw, Agent I",KY,10,out,36,17-Apr,Withdrawn,Out,,out,4/26/2023,Bradshaw Randy
347,,DB/BR,C,5/21/2021,Midnight Lute,Faith Proof,Idiot Proof,FaithProof,"Marcial Galan, Agent II",KY,D,out,,17-Apr,Withdrawn,Out,,out,4/10/2023,Galan Marcial
348,,DB/BR,F,4/24/2021,Classic Empire,Fall Fantasy,Menifee,FallFantasy,"Coastal Equine LLC (Jesse Hoppel), Agent XVIII",KY,A,10.1,137,17-Apr,"65,000",Not Sold,,,,Coastal Equine LLC
349,Clyde the Glide,B,C,3/27/2021,Get Stormy,Fanlight Fanny,Lear Fan,FanlightFanny,"Boutte Sales, Agent V",FL,3,10.3,109,17-Apr,"Don Roberts, David Fawkes, Agent","27,000",,,,Boutte Sales
350,,B,C,3/23/2021,Uncle Mo,Fantastic Style,Harlan's Holiday,FantasticStyle,"S G V Thoroughbreds LLC (Steven Venosa), Agent",KY,1,10.1,20,17-Apr,K. Radcliffe for Vekoma Thoroughbreds LLC & Partne,"400,000",,,,S G V Thoroughbreds
351,,B,F,5/17/2021,Oscar Performance,Fantasy of Flight,Tiznow,FantasyofFlight,"Niall Brennan Stables, Agent III",KY,8,out,,18-Apr,Withdrawn,Out,,out,4/16/2023,Brennan Niall
352,,B,F,2/9/2021,Khozan,Fashionation,City Zip,Fashionation,"Julie Davies LLC, Agent V",FL,19,10.2,135,18-Apr,"22,000",Not Sold,,,,Davies Julie
353,,B,F,1/21/2021,Constitution,Fashion Brand,Medaglia d'Oro,FashionBrand,"Niall Brennan Stables, Agent XXI",KY,8,out,119,18-Apr,Withdrawn,Out,,out,4/26/2023,Brennan Niall
354,,CH,C,5/1/2021,Catalina Cruiser,Fashion Secret,Curlin,FashionSecret,"de Meric Sales, Agent XI",KY,12,10.1,23,18-Apr,O.J. Jauregui,"55,000",,,,de Meric Sales
355,,B,C,2/22/2021,Oscar Performance,Fastbridled,Unbridled's Song,Fastbridled,"S B M Training and Sales, Agent II",KY,3,10.1,5,18-Apr,"240,000",Not Sold,,,,S B M Training and Sales
356,,GR/RO,F,3/18/2021,Girvin,Fast City,Half Ours,FastCity,"Six K's Training & Sales LLC, Agent VI",FL,7,10.2,87,18-Apr,"McMahon and Hill Bloodstock, Agent","25,000",,,,Six K's Training & Sales LLC
357,,B,F,2/6/2021,Blame,Favorite Candy,Candy Ride (ARG),FavoriteCandy,"Coastal Equine LLC (Jesse Hoppel), Agent XXI",KY,A,out,,18-Apr,Withdrawn,Out,,out,4/18/2023,Coastal Equine LLC
358,,B,C,2/17/2021,Connect,Fear This,Ghostzapper,FearThis,"Sequel Bloodstock, Agent III",NY,9,10.3,127,18-Apr,C.H.P.R.,"20,000",,,,Sequel Bloodstock
359,,DB/BR,F,4/23/2021,Omaha Beach,Featherspun,Hard Spun,Featherspun,"Harris Training Center LLC, Agent VI",KY,13,10.2,150,18-Apr,"95,000",Not Sold,,,,Harris Training Center LLC
360,,CH,F,2/22/2021,Mitole,Feisty Tomboy,Unbridled's Song,FeistyTomboy,"Pick View LLC, Agent IV",OH,G,10.2,18,18-Apr,"45,000",Not Sold,,,,Pick View LLC
361,,CH,F,4/7/2021,Candy Ride (ARG),Femmen'fortune,Giant's Causeway,Femmenfortune,"Global Thoroughbreds LLC, Agent I",KY,10,10.1,137,18-Apr,"55,000",Not Sold,,,,Global Thoroughbreds LLC
362,,CH,F,1/25/2021,Preservationist,Fennica,Empire Maker,Fennica,"Woodside Ranch, Agent I",KY,6,10.4,95,18-Apr,S.R.O.A. (KOID),"30,000",,,,Woodside Ranch
363,,B,F,1/20/2021,Blame,Field,War Front,Field,"Harris Training Center LLC, Agent III",KY,13,10,70,18-Apr,"190,000",Not Sold,,,,Harris Training Center LLC
364,,B,F,1/30/2021,Mitole,Fiercely,Hard Spun,Fiercely,"Wavertree Stables, Inc. (Ciaran Dunne), Agent XXIV",KY,5,20.4,37,18-Apr,"Peter Miller, Agent","160,000",,,,"Wavertree Stables, Inc."
365,,DB/BR,F,4/1/2021,Munnings,Filia,Fastnet Rock (AUS),Filia,"Eddie Woods, Agent VIII",VA,11,out,,18-Apr,Withdrawn,Out,,out,4/18/2023,Woods Eddie
366,,DB/BR,C,2/20/2021,Mitole,Filibustin,Bustin Stones,Filibustin,"Oak Creek Thoroughbreds, Agent I",KY,16,10,35,18-Apr,"N. Tremblay / Hollamon / Howg, etc.","300,000",,,,Oak Creek Thoroughbreds
367,Ithinkiloveyou,B,F,2/11/2021,Sky Mesa,Finest Quality,Quality Road,FinestQuality,"Craig L. Wheeler, Agent",FL,3,out,,18-Apr,Withdrawn,Out,,out,3/22/2023,Wheeler Craig L.
368,,B,F,2/7/2021,Audible,Firewater Rocket,Macho Rocket,FirewaterRocket,"Flying Fish, Agent",KY,15,out,145,18-Apr,Withdrawn,Out,,out,4/26/2023,Flying Fish
369,,CH,F,2/26/2021,Flameaway,Fisc,Lemon Drop Kid,Fisc,"Mason Springs Partnership (Marcus & Crystal Ryan), Agent I",KY,20,10.2,34,18-Apr,Paul Galli,"70,000",,,,Mason Springs Training Center LLC
370,,B,C,5/5/2021,Preservationist,Fizzy Pink (GB),Singspiel (IRE),FizzyPinkGB,"Harris Training Center LLC, Agent VII",KY,13,10.1,114,18-Apr,Narvick International,"57,000",,,,Harris Training Center LLC
371,Honorandprinciple,DB/BR,C,2/25/2021,Frosted,Flame Mingo,Blame,FlameMingo,"Randy Miles, Agent VII",KY,18,out,,18-Apr,Withdrawn,Out,,out,4/17/2023,Miles Randy
372,,B,F,2/18/2021,Audible,Fleet Bertie,Afleet Alex,FleetBertie,"Off the Hook LLC, Agent XX",KY,13,10.1,117,18-Apr,Barry Arnason,"25,000",PS,,,Off the Hook LLC
373,,DB/BR,F,1/10/2021,Munnings,Flipardini,Bernardini,Flipardini,"Scanlon Training & Sales, Agent VII",KY,1,10.1,22,18-Apr,"Wilson Falls Racing LLC, Lynch & Swann, Agents","110,000",,,,Scanlon Training Center
374,,B,C,4/17/2021,Vino Rosso,Flirting With Fate,Saint Ballado,FlirtingWithFate,Best A Luck Farm LLC,KY,3,10.2,106,18-Apr,Dennis O'Neill,"115,000",,,,Best A Luck Farm LLC
375,,DB/BR,F,3/16/2021,Flameaway,Floating Dream,Ghostzapper,FloatingDream,"S B M Training and Sales, Agent",PA,3,10.2,49,18-Apr,S.R.O.A. (KOID),"25,000",,,,S B M Training and Sales
376,,B,F,3/26/2021,Coal Front,Flying Wendy,North Light (IRE),FlyingWendy,"Omar Ramirez Bloodstock, Agent XVI",KY,15,10.2,118,18-Apr,C.H.P.R.,"25,000",,,,Ramirez Omar
377,,B,C,5/1/2021,Violence,Fonteyn,Perfect Soul (IRE),Fonteyn,"Really and Truly Thoroughbreds, Agent III",KY,C,10,78,18-Apr,"Colt Pike Agent for Leving's Racing, LLC","60,000",PS,,,Really and Truly Thoroughbreds
378,,B,F,5/26/2021,Midshipman,Forever,Medaglia d'Oro,Forever,"Julie Davies LLC, Agent VI",KY,19,10.1,87,20-Apr,Ed & Susie Orr,"110,000",,,,Davies Julie
379,,B,C,4/20/2021,Maximus Mischief,Forget It,Distorted Humor,ForgetIt,"Niall Brennan Stables, Agent XVI",NY,8,10.1,66,18-Apr,Windylea Farm LLC,"75,000",,,,Brennan Niall
380,,B,C,3/14/2021,Maximus Mischief,Fox Alert,Tizway,FoxAlert,"Bobby Dodd, Agent VIII",KY,10,out,,18-Apr,Withdrawn,Out,,out,4/18/2023,Dodd Bobby
381,,CH,C,4/2/2021,Tapiture,Foxbeau,Bluegrass Cat,Foxbeau,"Global Thoroughbreds LLC, Agent I",KY,10,9.4,14,18-Apr,Louis Cella,"220,000",,,,Global Thoroughbreds LLC
382,,CH,C,4/7/2021,Get Stormy,Frannys Last Dance,Spring At Last,FrannysLastDance,"Whitman Sales LLC, Agent II",KY,16,10.3,90,18-Apr,C.H.P.R.,"20,000",,,,Whitman Sales
383,,CH,C,5/9/2021,Audible,Frivolity,Corinthian,Frivolity,J & R Thoroughbreds LLC,KY,2,10.1,59,18-Apr,"120,000",Not Sold,,,,J & R Thoroughbreds LLC
384,,B,F,1/26/2021,Violence,Frosty Friday,Eskendereya,FrostyFriday,Kinsman Farm,KY,8,10,77,18-Apr,Whispering Oaks,"250,000",,,,Kinsman Farm
385,,DB/BR,F,2/16/2021,Practical Joke,Fruhl's Gold,Crafty Prospector,FruhlsGold,"Sterling Thoroughbreds, Agent",KY,16,10,43,18-Apr,Glenn Del Russo,"50,000",PS,,,Sterling Thoroughbreds
386,,DB/BR,C,3/8/2021,Hard Spun,Full Moon Frolic,Vindication,FullMoonFrolic,"Ocala Stud, Agent",KY,4,21.2,130,18-Apr,"Bruce Brown, Agent","65,000",,,,Ocala Stud
387,,B,C,3/25/2021,Bernardini,Full Ransom,Full Mandate,FullRansom,"Crane Thoroughbred Services LLC, Agent",KY,19,10.2,58,18-Apr,"William E. Morey, Agent","90,000",,,,Crane Clovis
388,,GR/RO,F,4/21/2021,Congrats,Funny Money,Dehere,FunnyMoney,"Eddie Woods, Agent XX",KY,11,21.2,108,18-Apr,"Joe Sharp, Agent","45,000",PS,,,Woods Eddie
389,,DB/BR,C,5/16/2021,Flameaway,Funny Proposition,Medaglia d'Oro,FunnyProposition,"Tom McCrocklin, Agent XXI",KY,2,21.4,144,18-Apr,Scotty Robin,"25,000",,,,McCrocklin Tom
390,,B,C,3/20/2021,Sharp Azteca,Funtasia,Acclamation,Funtasia,"Grassroots Training & Sales LLC, Agent",TX,J,10.2,105,18-Apr,Mark Dyer,"50,000",,,,Grassroots Training & Sales LLC
391,,B,F,3/27/2021,Uncle Mo,Gabriellestoblame,Blame,Gabriellestoblame,"Pick View LLC, Agent XIV",FL,G,out,,18-Apr,Withdrawn,Out,,out,4/13/2023,Pick View LLC
392,,B,F,3/28/2021,Sharp Azteca,Gal Factor,The Factor,GalFactor,"Pick View LLC, Agent XVI",ON,G,10,72,18-Apr,"95,000",Not Sold,,,,Pick View LLC
393,,B,C,4/8/2021,Yoshida (JPN),Galina Point,Saffir,GalinaPoint,Grassroots Training & Sales LLC,ON,J,10.3,85,18-Apr,Barry Arnason,"25,000",,,,Grassroots Training & Sales LLC
394,,B,F,2/8/2021,Cloud Computing,Gallatin Girl,Divine Park,GallatinGirl,Silvestre Chavez Thoroughbreds,KY,17,10.3,148,18-Apr,C.H.P.R.,"22,000",PS,,,Chavez Thoroughbreds Silvestre 
395,,B,C,3/20/2021,Air Force Blue,Gaman,Jimmy Creed,Gaman,"de Meric Sales, Agent XLIV",FL,12,10.3,88,18-Apr,"10,000",Not Sold,,,,de Meric Sales
396,,CH,C,4/20/2021,Malibu Moon,Garden City,Carson City,GardenCity,"Kings Equine, Agent XI",NY,1,10.2,139,18-Apr,Crown Thoroughbred,"20,000",,,,Kings Equine
397,,CH,C,3/19/2021,Omaha Beach,Gasp,Hennessy,Gasp,"Randy Miles, Agent VI",KY,18,10.1,97,20-Apr,John P. Warren,"60,000",,,,Miles Randy
